term,meaning,region,category,example,phonetic
زول,شخص أو إنسان,khartoum,اسم / وصف,الزول دا طيب شديد,Zool
حبابك عشرة,ترحيب حار جداً ومضاعف بالضيف,khartoum,ترحيب / تحية,حبابك عشرة بلا كشرة تفضل داخل,Hababak Ashara
آزول,نداء للشخص بكل احترام وتودد,khartoum,نداء,آزول تعال هنا دقيقة,A Zool
شديد ونظيف,وصف للشيء الممتاز جداً أو الشخص الأنيق والصادق,khartoum,تعبير مجازي,الشغل دا طلع شديد ونظيف,Shadeed wa Nazeef
قاعد في أمان الله,في حال سكون وسلام دون إزعاج,khartoum,تعبير مجازي,كنت قاعد في أمان الله وفجأة جاني اتصال,Ga'ed fi aman Allah
عنقريب,سرير تقليدي سوداني مصنوع من الخشب والمحبوك بالحبال أو القماش,khartoum,أثاث وتراث,اتفضل استريح في العنقريب دا,Angareeb
بنسبرين,الماء البارد جداً المصحوب بالراحة (تعبير شعبي عن الانتعاش),khartoum,تعبير شعبية,جيب لينا كباية موية مثلجة بنسبرين,Bensabreen
أقيف على حيلك,قف وانتصب واقفاً,khartoum,أمر / حركة,أقيف على حيلك سلم على الضيوف,Ageef ala heelak
يا زول انتميت لشنو,ما هو أصلك أو وجهتك أو هدفك,khartoum,سؤال شعبي,يا زول انتميت لشنو في الموضوع دا؟,Ya zool antamait li shno
جبنة,قهوة سودانية تقليدية معتقة بالبهارات تُصنع في القلاية وتُصب في الفنجان,khartoum,مشروبات وتراث,تعال نشرب الجبنة في الضلاية,Jabana
سجم أمي,تعبير عن الصدمة أو الدهشة أو الحسرة,khartoum,تعبير عن المشاعر,سجم أمي النور قطع تاني!,Sajam Ummi
أبشر بالخير,عبارة تشجيع وتضامن وكرم سوداني أصيل,khartoum,ترحيب / كرم,أبشر بالخير والكرامة، حاجتك مقضية,Absher bil khair
يا حليل أيام زمان,التغني بالحنين والاشتياق للماضي الجميلة,khartoum,حنين / شعر,يا حليل أيام زمان واللمة الطيبة,Ya haleel ayam zaman
راكوبة,مظلة مصنوعة من القش والحطب توفر الظل والبرودة,khartoum,عمارة تقليدية,عدنا للجلسة تحت الراكوبة في العصرية,Rakooba
قدامك العافية,دعاء للشخص بالشفاء والسلامة والخير,khartoum,دعاء / تحية,سلامتك يا أخي وقدامك العافية,Gaddamak al aafiya
عوافي,تحية السلام والراحة والصحة والعافية,darfur,تحية,عوافي عليكم يا أهل الدار,Awafi
شِدِيدْ,بخير وصحة جيدة وقوة,darfur,حالة / وصف,كيف حالكم؟ - شديدين والحمد لله,Shadeed
حَبَابَكْ فِيمَا جِئْتَ,ترحيب كامل ومطلق بمقدم الضيف,darfur,ترحيب,حبابك فيما جئت ونورت الفاشر,Hababak feema ji'ta
تَكَلْ,المطبخ التقليدي المصنوع من القش والخشب للإعداد والمأكولات,darfur,مكان / تراث,الأكل جاهز في التكل تعالوا,Takal
الدامرة,المستقر والقرية الموسمية للمستقرين والرعاة,darfur,جغرافيا شعبية,وصلنا الدامرة قبل غروب الشمس,Al Damira
الفرقان,جمع فريق، وهي أحياء ومجموعات منازل العائلات المترابطة,darfur,جغرافيا شعبية,الفرقان في دارفور مترابطة وتشارك في كل المناسبات,Al Furgan
المَرْسُوعْ,الطبق التقليدي المصنوع بعناية لتقديم عصيدة الدخن,darfur,أواني ومأكولات,قدموا العصيدة في المرسوع الكبيرة,Al Marsoo'
عصيدة الدخن,الوجبة الرئيسة والتاريخية في دارفور المصنوعة من طحين الدخن الصحي,darfur,مأكولات شعبية,عصيدة الدخن مع المراس هي القوت الرئيسي,AseEDAT al Dukhn
