id,region,category,topic,query,response,source
1,khartoum,general,greetings,تحدث عن greetings في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
2,khartoum,general,greetings,تحدث عن greetings في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
3,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
4,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
5,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
6,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
7,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
8,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
9,khartoum,general,proverbs,تحدث عن proverbs في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
10,khartoum,general,proverbs,تحدث عن proverbs في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
11,khartoum,general,proverbs,تحدث عن proverbs في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
12,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
13,khartoum,general,culture,تحدث عن culture في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,curated
14,darfur,general,greetings,تحدث عن greetings في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,curated
15,darfur,general,greetings,تحدث عن greetings في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,curated
16,darfur,general,vocabulary,تحدث عن vocabulary في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,curated
17,darfur,general,vocabulary,تحدث عن vocabulary في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,curated
18,darfur,general,vocabulary,تحدث عن vocabulary في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,curated
19,darfur,general,vocabulary,تحدث عن vocabulary في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,curated
20,darfur,general,vocabulary,تحدث عن vocabulary في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,curated
21,darfur,general,proverbs,تحدث عن proverbs في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,curated
22,darfur,general,proverbs,تحدث عن proverbs في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,curated
23,darfur,general,geography,تحدث عن geography في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,curated
24,darfur,general,culture,تحدث عن culture في إقليم darfur بالسودان والمعنى/الأهمية المرتبطة به.,,curated
25,kordofan,general,greetings,تحدث عن greetings في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,curated
26,kordofan,general,greetings,تحدث عن greetings في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,curated
27,kordofan,general,vocabulary,تحدث عن vocabulary في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,curated
28,kordofan,general,vocabulary,تحدث عن vocabulary في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,curated
29,kordofan,general,vocabulary,تحدث عن vocabulary في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,curated
30,kordofan,general,vocabulary,تحدث عن vocabulary في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,curated
31,kordofan,general,vocabulary,تحدث عن vocabulary في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,curated
32,kordofan,general,proverbs,تحدث عن proverbs في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,curated
33,kordofan,general,proverbs,تحدث عن proverbs في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,curated
34,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,curated
35,eastern,general,greetings,تحدث عن greetings في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
36,eastern,general,greetings,تحدث عن greetings في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
37,eastern,general,vocabulary,تحدث عن vocabulary في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
38,eastern,general,vocabulary,تحدث عن vocabulary في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
39,eastern,general,vocabulary,تحدث عن vocabulary في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
40,eastern,general,vocabulary,تحدث عن vocabulary في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
41,eastern,general,proverbs,تحدث عن proverbs في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
42,eastern,general,proverbs,تحدث عن proverbs في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
43,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
44,northern,general,greetings,تحدث عن greetings في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
45,northern,general,greetings,تحدث عن greetings في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
46,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
47,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
48,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
49,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
50,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
51,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
52,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
53,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
54,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
55,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
56,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
57,northern,general,proverbs,تحدث عن proverbs في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
58,northern,general,proverbs,تحدث عن proverbs في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
59,northern,general,culture,تحدث عن culture في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,curated
60,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
61,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
62,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
63,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
64,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
65,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
66,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
67,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
68,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
69,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
70,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
71,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
72,khartoum,general,vocabulary,تحدث عن vocabulary في إقليم khartoum بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللهجة_السودانية)
73,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
74,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
75,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
76,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
77,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
78,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
79,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
80,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
81,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
82,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
83,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
84,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
85,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
86,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
87,kordofan,general,culture,تحدث عن culture في إقليم kordofan بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (كردفان)
88,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (البجا)
89,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (البجا)
90,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (البجا)
91,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (البجا)
92,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (البجا)
93,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (البجا)
94,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (البجا)
95,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (البجا)
96,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (البجا)
97,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (البجا)
98,eastern,general,culture,تحدث عن culture في إقليم eastern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (البجا)
99,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللغة_النوبية)
100,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللغة_النوبية)
101,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللغة_النوبية)
102,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللغة_النوبية)
103,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللغة_النوبية)
104,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللغة_النوبية)
105,northern,general,vocabulary,تحدث عن vocabulary في إقليم northern بالسودان والمعنى/الأهمية المرتبطة به.,,Wikipedia (اللغة_النوبية)
